Campaign ID,Total Funds Raised,Number of Donors,Average Donation Size,Attendance Numbers,Funds Raised at Events,Participant Feedback,Marketing Spend,Cost per Acquisition,Return on Investment (ROI),Event Type,Event Date
3cb5f013-a579-4d70-99c0-7656684f98ba,19199.34,242,1913.67,326,11680.29,Positive,9756.47,82.75,9.29,Marathon,2022-01-17
336a9f2e-fc58-4126-9108-730aa433412a,66334.41,317,928.31,254,40469.46,Positive,925.07,26.53,5.75,Gala,2024-03-02
b9670784-83da-4e95-8e1e-91e6d401beac,62264.45,105,451.82,500,4144.73,Positive,8834.46,11.49,6.22,Marathon,2021-11-15
bd2fda70-4a23-4182-b19a-8153e0e95656,43053.64,469,1528.35,870,33741.57,Neutral,7099.53,48.17,9.73,Gala,2020-12-07
c84d9250-eae7-4a6e-9bdb-bcf0eb378672,50658.49,62,1981.79,283,7498.67,Positive,6954.95,82.99,0.55,Gala,2022-03-13
a4bf4bac-74ab-4ccf-90e9-d676001273b4,68029.71,500,1984.19,602,43944.08,Negative,7971.07,48.27,9.72,Gala,2020-03-06
44645ddd-f030-4265-a2f3-9d5e0b2728e5,40319.38,224,573.59,373,10960.13,Positive,1157.27,46.34,2.47,Gala,2020-11-30
23b2831e-66fd-46f2-a397-fd148cc44bf0,59970.0,473,1325.99,702,49566.37,Positive,2762.04,11.88,0.61,Dinner,2023-08-21
ff9fa7f6-6ba7-4cd1-9869-cc3e6cea48b3,23031.97,232,1615.9,754,31532.15,Negative,5960.47,60.84,5.75,Auction,2021-06-29
0858e02b-7571-47c1-a8a4-93a89c9be929,69534.79,407,979.56,665,17332.8,Positive,2343.32,61.73,3.94,Marathon,2021-02-03
c7a10f21-158b-412d-922c-6c2b35dcf2f2,17212.66,240,895.57,754,28059.45,Neutral,9967.66,39.61,0.91,Auction,2022-06-29
761c7a09-8b2c-4ac5-b316-f688a5700107,89921.25,330,186.24,442,49876.47,Positive,246.01,88.53,8.21,Dinner,2020-02-10
a5211c34-a9f9-4c30-9fb2-be6f9a3640db,31241.45,68,1940.27,354,5511.52,Neutral,2358.04,60.65,4.23,Auction,2020-07-12
ca97d549-75f5-4650-90c1-f915e81f1e91,69756.89,275,90.27,151,19000.73,Neutral,884.88,91.55,9.49,Dinner,2022-09-13
d6b7a926-fe2a-4857-a4bf-978a87f1eb4c,62868.13,143,1755.52,368,27691.03,Neutral,7333.71,92.59,1.03,Gala,2021-05-05
da2ab276-d66f-4675-bb8d-89ee6125c9b3,16050.21,472,287.33,456,36331.26,Negative,5258.63,42.64,0.69,Gala,2024-06-24
3259bc92-4833-4bcc-ad2e-8aa696824d27,44132.62,466,92.25,624,4853.78,Negative,4421.19,24.11,1.69,Dinner,2023-07-13
ce01ee1d-9782-441f-a14d-1bebcc5944ea,12582.14,247,1964.07,409,34503.95,Neutral,4373.02,78.76,5.0,Marathon,2021-06-01
7b5c1609-8532-4e64-8af4-a7e6f7665cd3,6567.64,380,358.2,354,4747.23,Neutral,3449.08,64.69,7.89,Auction,2024-01-17
2980db33-ab44-4f47-8229-c23b01c4910d,39271.22,147,1235.98,895,3619.76,Negative,5149.4,86.41,2.51,Dinner,2024-06-15
74148675-256e-4e0f-8349-c7f805a1d745,15948.4,129,1968.63,361,49549.0,Positive,3957.67,55.75,2.16,Marathon,2021-04-11
9035f494-f49f-487b-972a-ff25188895ab,54680.25,69,531.32,114,34316.25,Negative,7300.99,96.79,7.68,Marathon,2022-12-13
4700b114-eaf5-4da6-bfba-a5ec13aaad66,38693.21,425,787.28,759,49180.71,Positive,4175.63,82.92,3.0,Auction,2023-01-06
9af828d2-761e-4415-9564-dd8dd5ba5abe,89578.75,58,483.01,780,34415.95,Negative,6717.83,89.16,1.84,Marathon,2022-10-21
0ade9760-6285-4062-8ac9-a75dcc721c8e,68766.03,390,328.08,367,9002.82,Negative,5970.74,48.59,7.87,Auction,2020-10-30
bd72c073-67ba-4aaf-8e34-4fa7738026f0,38663.61,268,822.05,494,1331.24,Positive,6188.44,20.34,9.54,Dinner,2023-08-12
99b6442e-19a0-4868-9bf1-802a90632639,82612.62,347,1735.91,835,29428.81,Neutral,9780.97,5.38,6.04,Auction,2020-05-23
8beff804-e8d0-42bb-a8ff-24e743de06a3,36191.3,141,1309.8,240,22582.44,Neutral,7328.81,22.38,2.97,Gala,2024-04-22
d068b30a-68f0-4dcd-9ed1-d309c6113dbb,83221.47,352,1095.05,669,6177.18,Positive,7350.51,11.99,0.58,Gala,2020-11-07
5e28edb2-4bfb-4329-8b0b-1a90df84ac99,14620.32,458,1182.3,899,24817.84,Negative,3340.58,19.54,4.75,Marathon,2023-08-28
