Donor ID,Age,Gender,Location,Income Level,Donation Amounts,Frequency,Date of Donations,Donation Channels,Donor Segmentation,Event Type
a8243630-9e1a-48aa-8eee-3140c7c98b33,64,Male,Port Timothyton,Medium,55.08,Quarterly,2020-12-05,Online,Repeat donor,Auction
dd7016f3-2713-4e92-ac57-d0b2fe1b807d,18,Male,Anthonymouth,Low,59.2,Quarterly,2020-02-26,Events,Major donor,Auction
42351320-986c-40ae-a102-b213394c2e16,59,Female,Hannahmouth,Low,956.82,Monthly,2022-08-18,Online,Repeat donor,Auction
7d178b91-4d9b-4aec-9e24-665abd66b2e4,58,Female,South Vickiville,Low,326.12,Annually,2020-08-30,Events,Major donor,Auction
29afdcf4-dfce-4a9c-82c7-a2d976f16062,32,Male,Lake Shannon,High,792.06,Monthly,2022-01-26,Events,Major donor,Gala
8b994c36-adeb-40af-8a7e-603ecd47b2f6,77,Male,Lake Joshuachester,High,311.87,Annually,2020-05-01,Online,Major donor,Auction
44d14996-abe3-4fd7-b5dd-d75ab69dd430,29,Male,Sarahmouth,Low,259.05,Annually,2023-03-18,Mail,Major donor,Marathon
4e612225-30fc-4fe5-8be9-9e8ed20ee24f,55,Non-binary,Kaylaberg,Medium,449.71,Monthly,2023-02-18,Mail,Repeat donor,Dinner
801a1283-0375-47ce-aebb-f0d2cf083b66,71,Male,South Williamside,Medium,982.55,Quarterly,2023-05-14,Online,Repeat donor,Dinner
6d6ef063-27a9-4432-ab93-6e939b4fd722,57,Female,Nataliechester,High,69.82,Quarterly,2020-12-08,Online,Repeat donor,Dinner
6e974bb6-9243-4244-bf9f-49747c79cbc7,68,Male,Hayesfort,Medium,577.9,Annually,2022-09-12,Online,Major donor,Gala
a3c3b3e5-1a6e-4499-8fa8-01fb86501b58,65,Female,Port Heatherview,Medium,162.53,Monthly,2021-10-21,Online,First-time donor,Dinner
0be94088-a190-4438-a3ea-a7982b73ed1e,40,Male,Houseburgh,High,589.04,Quarterly,2021-06-21,Mail,First-time donor,Marathon
09be9377-6d81-4eb3-a84a-0bc91acbcd56,41,Non-binary,Bradleyview,Low,384.69,Annually,2024-01-30,Online,First-time donor,Marathon
6620525e-33cd-4b5f-a7b5-301af7298af3,75,Female,New Donna,Medium,814.64,Monthly,2023-04-20,Online,Repeat donor,Gala
b12a9967-2961-40a5-a98c-825210d174af,26,Female,Smithside,Low,649.07,Annually,2023-10-06,Events,Repeat donor,Marathon
ff3fee93-8867-43e3-830b-e5d42b0307d7,62,Female,Ellismouth,Low,916.06,Monthly,2022-09-24,Online,First-time donor,Dinner
b6070e50-4096-485b-bb00-e7a5fe38b874,29,Female,Garciaside,Medium,639.48,Quarterly,2023-02-13,Events,First-time donor,Marathon
df1e1dc6-2cc4-418c-94bc-1bb3320ef0e7,73,Female,Andrewsport,High,773.1,Monthly,2020-02-13,Events,Major donor,Gala
cebe7e76-fb9b-44ce-a92a-98d4b70876e6,37,Non-binary,North Jonathanton,Low,115.43,Monthly,2020-09-19,Events,Major donor,Gala
042466fd-c27b-4a7f-89c4-bf0bddca6010,22,Female,East Debramouth,Low,910.88,Annually,2022-01-18,Online,Repeat donor,Dinner
